Feature type,Primary DBID,Systematic Name,SGD Alias,Description,Standard Name,Chromosome,Start,End,Strand
ORF,S000003751,YJL215C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,26412,26771,-1
ORF,S000003779,YJR018W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,466786,467148,1
ORF,S000003781,YJR020W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,468001,468333,1
ORF,S000003799,YJR038C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,503710,504072,-1
ORF,S000003832,YJR071W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,570405,570773,1
ORF,S000003918,YJR157W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,730515,730877,1
ORF,S000003923,YJR162C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,744911,745261,-1
ORF,S000003982,YLL059C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,22474,22980,-1
ORF,S000004114,YLR124W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,391600,391944,1
ORF,S000004159,YLR169W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,500335,500688,1
ORF,S000004161,YLR171W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,500733,501122,1
ORF,S000004174,YLR184W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,522106,522453,1
ORF,S000004259,YLR269C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,680866,681216,-1
ORF,S000004269,YLR279W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,704309,704698,1
ORF,S000004270,YLR280C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,704483,704833,-1
ORF,S000004302,YLR311C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,757265,757612,-1
ORF,S000004392,YLR400W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,922063,922536,1
ORF,S000004394,YLR402W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,924889,925080,1
ORF,S000004408,YLR416C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,954491,954889,-1
ORF,S000004436,YLR444C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,1023686,1023988,-1
ORF,S000004549,YML084W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIII,99489,99797,1
ORF,S000004569,YML101C-A,YML102C-A,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIII,69409,69726,-1
ORF,S000004655,YMR052C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIII,380069,380434,-1
ORF,S000004691,YMR086C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIII,442026,442364,-1
ORF,S000004743,YMR135W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIII,539911,540444,1
ORF,S000004805,YMR193C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIII,651072,651458,-1
ORF,S000004859,YMR245W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIII,758563,759183,1
ORF,S000004973,YNL028W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,578679,578996,1
ORF,S000005002,YNL057W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,516403,516735,1
ORF,S000005114,YNL170W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,315978,316373,1
ORF,S000005115,YNL171C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,315629,315997,-1
ORF,S000005142,YNL198C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,266514,266816,-1
ORF,S000005147,YNL203C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,259439,260050,-1
ORF,S000005149,YNL205C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,258155,258577,-1
ORF,S000005229,YNL285W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,96173,96544,1
ORF,S000005247,YNL303W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,61510,61857,1
ORF,S000005268,YNL324W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,31050,31445,1
ORF,S000005281,YNL337W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,7165,7419,1
ORF,S000005288,YNR005C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,636931,637335,-1
ORF,S000005395,YOL035C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,258803,259105,-1
ORF,S000005439,YOL079W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,181057,181455,1
ORF,S000005466,YOL106W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,113226,113579,1
ORF,S000005510,YOL150C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,44473,44784,-1
ORF,S000005526,YOL166C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,1000,1338,-1
ORF,S000005550,YOR024W,IRC12,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,377847,378170,1
ORF,S000005581,YOR055W,YOR29-06,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,429478,429912,1
ORF,S000005725,YOR199W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,720181,720510,1
ORF,S000005751,YOR225W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,761392,761721,1
ORF,S000005774,YOR248W,TOS11,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,798013,798315,1
ORF,S000005946,YPL025C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXVI,502473,503030,-1
ORF,S000006280,YPR076W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXVI,696476,696850,1
ORF,S000006296,YPR092W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXVI,718379,718684,1
ORF,S000006330,YPR126C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXVI,789077,789385,-1
ORF,S000006334,YPR130C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXVI,793374,793781,-1
ORF,S000006350,YPR146C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXVI,825347,825676,-1
ORF,S000007231,YCR102W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrIII,306735,306932,1
ORF,S000007238,YER091C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrV,342390,342611,-1
ORF,S000007241,YIR020W-A,YIR020W-B,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrIX,394917,395159,1
ORF,S000007244,YKL162C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXI,145922,146074,-1
ORF,S000007248,YMR046W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIII,362702,362830,1
ORF,S000007250,YMR194C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIII,652912,653136,-1
ORF,S000007259,Q0032,ORF8,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrmt,11667,11957,1
ORF,S000007269,Q0092,ORF5,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrmt,30874,31014,1
ORF,S000007277,Q0143,ORF10,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrmt,51277,51429,1
ORF,S000007278,Q0144,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrmt,54109,54438,1
ORF,S000007280,Q0182,ORF11,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrmt,65770,66174,1
ORF,S000007594,YBR191W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrII,607149,607223,1
ORF,S000007612,YJL127W-A,YJL127W-B,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,180194,180310,1
ORF,S000007613,YJL156W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,126604,126825,1
ORF,S000007617,YKL165C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXI,135790,136023,-1
ORF,S000007619,YLR149C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,440370,440456,-1
ORF,S000007623,YNL067W-A,YNL067W-B,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXIV,498538,498684,1
ORF,S000007628,YOR008W-B,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,343929,344030,1
ORF,S000007629,YOR314W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXV,904458,904568,1
ORF,S000007630,YPR016W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXVI,593096,593356,1
ORF,S000028528,YAL016C-B,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrI,124307,124492,-1
ORF,S000028663,YJL222W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,9452,9679,1
ORF,S000028664,YJL222W-B,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrX,9346,9483,1
ORF,S000028686,YLR466C-B,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,1071594,1071710,-1
ORF,S000028794,YIL100C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrIX,177343,177681,-1
ORF,S000028799,YIR017W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrIX,383566,384165,1
ORF,S000028844,YLR163W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrXII,492812,492925,1
ORF,S000029725,YER090C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",,chrV,338322,338411,-1
ORF,S000004922,YMR306C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps 3' end of ORF FKS3/YMR306W",,chrXIII,886183,886572,-1
ORF,S000004782,YMR172C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps 3' end of ORF HOT1/YMR172W",,chrXIII,607828,608211,-1
ORF,S000004761,YMR153C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps 3' end of verified gene NUP53/YMR153W",,chrXIII,565574,565909,-1
ORF,S000004934,YMR316C-B,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps 5' end of ORF YMR317W",,chrXIII,907321,907629,-1
ORF,S000028753,YER087C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF AIM10/YER087W",,chrV,331817,332368,-1
ORF,S000028801,YIR023C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF DAL81/YIR023W",,chrIX,402383,402706,-1
ORF,S000028742,YEL018C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF EAF5/YEL018W",,chrV,121455,121988,-1
ORF,S000028784,YHR182C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF GND1/YHR183W",,chrVIII,470939,471412,-1
ORF,S000028793,YIL071W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF PCI8/YIL071C",,chrIX,228550,229026,1
ORF,S000028760,YER148W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF PEA2/YER149C",,chrV,466185,466763,1
ORF,S000028763,YER172C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF RAD24/YER173W",,chrV,536275,536655,-1
ORF,S000002611,YDR203W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF RAV2/YDR202C",,chrIV,857682,857999,1
ORF,S000028792,YIL068W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF SEC6/YIL068C",,chrIX,233013,233396,1
ORF,S000028788,YIL029W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF SSM4/YIL030C",,chrIX,299735,300106,1
ORF,S000028778,YHR063W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF SSZ1/YHR064C",,chrVIII,225442,225777,1
ORF,S000028790,YIL047C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF SYG1/YIL047C",,chrIX,265099,265467,-1
ORF,S000028791,YIL066W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF YIL067C",,chrIX,237366,237809,1
ORF,S000005172,YNL228W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps ORF YNL227C/JJJ1",,chrXIV,220645,221421,1
ORF,S000000196,YBL100C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the 5' end of ATP1",,chrII,36989,37303,-1
ORF,S000087087,YBR056C-B,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the dubious ORF YBR056W-A",,chrII,351293,351451,-1
ORF,S000005803,YOR277C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene CAF20",,chrXV,841515,841823,-1
ORF,S000000293,YBR089W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30",,chrII,425183,425782,1
ORF,S000005406,YOL046C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene PSK2/YOL045W",,chrXV,243466,244140,-1
ORF,S000002387,YDL228C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene SSB1",,chrIV,45277,45918,-1
ORF,S000028589,YPL250W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified ORF RPL36B/YPL249C-A; identified by fungal homology and RT-PCR",,chrXVI,75702,75989,1
ORF,S000028752,YER084W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps uncharacterized ORF YER085C",,chrV,327598,328110,1
ORF,S000006254,YPR050C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps verified ORF MAK3/YPR051W",,chrXVI,664953,665366,-1
ORF,S000002945,YDR537C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps verified ORF PAD1/YDR538W",,chrIV,1510856,1511461,-1
ORF,S000028767,YFR036W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps verified ORF RSC8/YFR037C",,chrVI,227451,228101,1
ORF,S000000043,YAL045C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A",,chrI,57488,57796,-1
ORF,S000028815,YBR121C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely contained within the verified gene GRS1; identified by expression profiling and mass spectrometry",,chrII,482326,482484,-1
ORF,S000028743,YEL034C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps HYP2/YEL034W, a verified gene that encodes eiF-5A",,chrV,85613,86215,-1
ORF,S000028783,YHR165W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps ORF PRP8/YHR165C",,chrVIII,436647,436958,1
ORF,S000028777,YHR056W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps ORF RSC30/YHR056C",,chrVIII,217406,217840,1
ORF,S000028779,YHR069C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps ORF TRM5/YHR070W",,chrVIII,234874,235236,-1
ORF,S000028787,YIL020C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps origin of replication ARS918, partially overlaps ORF RPB3/YIL021W",,chrIX,313713,314051,-1
ORF,S000028642,YGR296C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps TEL07R",,chrVII,1088870,1089445,-1
ORF,S000005282,YNL338W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps TEL14L-XC, which is a telomeric X element core sequence on the left arm of chromosome XIV",,chrXIV,6561,6719,1
ORF,S000007622,YMR013W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the characterized snoRNA gene snR73",,chrXIII,298311,298391,1
ORF,S000028554,YHR180C-B,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the dubious ORF YHR180W-A",,chrVIII,466958,467062,-1
ORF,S000001362,YIL100W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the dubious ORF YIL100C-A",,chrIX,177373,177726,1
ORF,S000007252,YOL013W-B,YOL013W-A,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the long terminal repeat (LTR) of a Ty1 element",,chrXV,300690,300980,1
ORF,S000028610,YDL025W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the ORF YDL025C; identified by gene-trapping, microarray expression analysis, and genome-wide homology searching",,chrIV,405410,405514,1
ORF,S000004962,YNL017C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the tRNA ORF tI(AAU)N2",,chrXIV,602138,602476,-1
ORF,S000007254,YPR002C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the Ty1 long terminal repeat, YPRWdelta12",,chrXVI,560569,560766,-1
ORF,S000007229,YBL107W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the Ty2 LTR YBLWdelta2; YBL107W-A has a paralog, YER138W-A, that arose from a single-locus duplication",,chrII,9268,9372,1
ORF,S000028822,YDR371C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the uncharacterized gene CTS2/YDR371W; identified by expression profiling and mass spectrometry",,chrIV,1219509,1219613,-1
ORF,S000028824,YFR010W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the uncharacterized gene YFR011C; identified by expression profiling and mass spectrometry",,chrVI,166728,166916,1
ORF,S000028658,YIL177W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the uncharacterized gene YIL177C",,chrIX,846,1328,1
ORF,S000028665,YJL225W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the uncharacterized gene YJL225C",,chrX,829,1311,1
ORF,S000028671,YLL066W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the uncharacterized ORF YLL066C",,chrXII,6486,6968,1
ORF,S000028689,YML133W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the uncharacterized ORF YML133C",,chrXIII,1610,2185,1
ORF,S000028690,YML133W-B,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the uncharacterized ORF YML133C",,chrXIII,827,1309,1
ORF,S000028841,YKL145W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified essential gene RPT1; identified by expression profiling and mass spectrometry",,chrXI,174958,175050,1
ORF,S000007597,YCR038W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene BUD5/YCR038C; identified by homology with hemiascomycetous yeast species",,chrIII,199293,199418,1
ORF,S000028578,YMR307C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene GAS1/YMR307W",,chrXIII,887731,887925,-1
ORF,S000006057,YPL136W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene GIP3/YPL137C",,chrXVI,296286,296654,1
ORF,S000028666,YJR140W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene HIR3; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",,chrX,690961,691110,1
ORF,S000028670,YLL019W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene KNS1",,chrXII,106908,107000,1
ORF,S000028596,YBL006W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene LDB7/YBL006C",,chrII,216711,216860,1
ORF,S000000303,YBR099C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene MMS4",,chrII,442924,443307,-1
ORF,S000028700,YNL097W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene PHO23/YNL097C",,chrXIV,441431,441586,1
ORF,S000028705,YNR003W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene RPC34/YNR003C",,chrXIV,634420,634518,1
ORF,S000028668,YKL156C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene RPS27A; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",,chrXI,158975,159091,-1
ORF,S000028823,YFR009W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene YFR009W; identified by expression profiling and mass spectrometry",,chrVI,163875,164132,1
ORF,S000028659,YJL020W-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene YJL020C/BBC1",,chrX,400981,401238,1
ORF,S000028660,YJL026C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene YJL026W/RNR2",,chrX,393066,393287,-1
ORF,S000003600,YJL064W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene YJL065C/DLS1",,chrX,315175,315570,1
ORF,S000028839,YJL197C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene YJL197C/UBP12",,chrX,65805,66086,-1
ORF,S000005852,YOR325W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF FRT1",,chrXV,924577,925050,1
ORF,S000005058,YNL114C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF RPC19/YNL113W, an RNA polymerase subunit",,chrXIV,412684,413055,-1
ORF,S000006063,YPL142C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF RPL33A/YPL143W, a component of the large (60S) ribosomal subunit",,chrXVI,282686,283003,-1
ORF,S000028847,YMR013C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF SEC59/YML013C",,chrXIII,296471,296620,-1
ORF,S000028814,YBL039C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF URA7; identified by expression profiling and mass spectrometry",,chrII,144948,145031,-1
ORF,S000028617,YDR545C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF YRF1-1/YDR545W",,chrIV,1530863,1531342,-1
ORF,S000028626,YER190C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF YRF1-2/YER190W; identified by gene-trapping, expression analysis, and homology",,chrV,574804,575379,-1
ORF,S000028641,YGR270C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF YTA7/YGR270W",,chrVII,1027382,1027600,-1
ORF,S000028613,YDR354C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps TRP4; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",,chrIV,1185139,1185282,-1
ORF,S000028649,YHR137C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene ARO9/YHR137W; identified by gene-trapping, expression analysis, and genome-wide homology searching",,chrVIII,375738,376388,-1
ORF,S000005325,YNR042W,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene COQ2",,chrXIV,701238,701666,1
ORF,S000000527,YCL022C,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene KCC4/YCL024W",,chrIII,81570,82085,-1
ORF,S000028622,YER023C-A,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene PRO3; identified by gene-trapping, microarray expression analysis, and genome-wide homology searching",,chrV,201522,201734,-1
